
2024/10/20 (16:50:22) | ===> btop++ v.1.4.0
2024/10/20 (16:50:22) | INFO: Logger set to DEBUG
2024/10/20 (16:50:22) | DEBUG: Using locale en_US.UTF-8
2024/10/20 (16:50:22) | INFO: Running on /dev/pts/1
2024/10/20 (16:50:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/20 (16:50:22) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/20 (16:50:22) | DEBUG: Shared::init() : Initialized.
2024/10/20 (16:50:22) | DEBUG: Loading theme file: /home/cbuttars/.config/btop/themes/dracula.theme
2024/10/20 (16:50:47) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2024/10/20 (16:50:49) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/10/20 (16:50:50) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2024/10/20 (16:50:52) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/10/20 (16:50:52) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2024/10/20 (16:50:57) | DEBUG: Loading theme file: /home/cbuttars/.config/btop/themes/catppuccin_macchiato.theme
2024/10/20 (16:50:58) | DEBUG: Loading theme file: /home/cbuttars/.config/btop/themes/catppuccin_latte.theme
2024/10/20 (16:50:58) | DEBUG: Loading theme file: /home/cbuttars/.config/btop/themes/catppuccin_mocha.theme
2024/10/20 (16:50:59) | DEBUG: Loading theme file: /home/cbuttars/.config/btop/themes/catppuccin_frappe.theme
2024/10/20 (16:50:59) | DEBUG: Loading theme file: /home/cbuttars/.config/btop/themes/dracula.theme
2024/10/20 (16:52:57) | DEBUG: Writing new config file
2024/10/20 (16:52:57) | INFO: Quitting! Runtime: 00:02:35

2024/10/20 (16:54:59) | ===> btop++ v.1.4.0
2024/10/20 (16:54:59) | INFO: Logger set to DEBUG
2024/10/20 (16:54:59) | DEBUG: Using locale en_US.UTF-8
2024/10/20 (16:54:59) | INFO: Running on /dev/pts/1
2024/10/20 (16:54:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/20 (16:54:59) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/20 (16:54:59) | DEBUG: Shared::init() : Initialized.
2024/10/20 (16:54:59) | DEBUG: Loading theme file: /home/cbuttars/.config/btop/themes/dracula.theme
2024/10/20 (16:55:29) | DEBUG: Writing new config file
2024/10/20 (16:55:29) | INFO: Quitting! Runtime: 00:00:30
